wage_quintile,atc_archetype,r_obs,r_ATC,r_SYM,r_NULL,n
1,Physical_Terminal,0.216469875870421,0.124294128933574,0.147899545869447,0.11105225274781,3303
2,Physical_Terminal,0.192307692307692,0.112124031664535,0.124791330969531,0.109740013552393,3172
3,Physical_Terminal,0.163046544428773,0.098916713130251,0.109723052567618,0.107921688228568,3545
4,Physical_Terminal,0.10242747187685,0.0816976086217957,0.0936156228022186,0.104965997255485,5067
5,Physical_Terminal,0.063595068137573,0.0610223962069623,0.076652564828141,0.103307367181392,6164
1,SC_Scaffolding,0.10342481288274,0.0870480018925708,0.0789321361979601,0.101980719831763,4409
2,SC_Scaffolding,0.0843612334801762,0.0942567610417141,0.088857873086406,0.0995619619692894,4540
3,SC_Scaffolding,0.100924124513619,0.103266118625747,0.0991455900047256,0.100678468800215,4112
4,SC_Scaffolding,0.176573426573427,0.120406932269141,0.116820942949347,0.105602690722937,2860
5,SC_Scaffolding,0.280730897009967,0.158388859142303,0.151524742046821,0.115596305111805,1806
1,SC_Specialized,0.205062643825109,0.252251541413751,0.23754540681255,0.244773169850154,3911
2,SC_Specialized,0.181198246468583,0.255578488630268,0.244684295431351,0.244317781490186,4106
3,SC_Specialized,0.150581101566448,0.260945697499655,0.251317201122839,0.245290060294539,3958
4,SC_Specialized,0.198214285714286,0.268762770365041,0.258888940448041,0.245979556946026,3360
5,SC_Specialized,0.233120113717129,0.283739775932148,0.269607605564333,0.246487756456408,2814
