wage_quintile,domain,r_obs,r_ATC,r_NULL,n_cells
1,Cognitive,0.151201923076923,0.16830083825203,0.175742653595006,8320
2,Cognitive,0.130349294471432,0.175681833097464,0.174358497968768,8646
3,Cognitive,0.125278810408922,0.184423490514696,0.175499379479822,8070
4,Cognitive,0.188263665594855,0.198635061692756,0.178392500972071,6220
5,Cognitive,0.251731601731602,0.225504142831663,0.183019562355213,4620
1,Physical,0.216469875870421,0.121204827450687,0.107954772827557,3303
2,Physical,0.192307692307692,0.109367881904896,0.106679580272303,3172
3,Physical,0.163046544428773,0.0964722577713281,0.104910436385879,3545
4,Physical,0.10242747187685,0.0796440560165898,0.102035522016372,5067
5,Physical,0.063595068137573,0.059433817750132,0.100422143381696,6164
