panel_short,coef,estimate,se
Panel A,Theta_up_Cog,0.329372979258083,0.0992933464197502
Panel A,Theta_dn_Cog,0.154582177437948,0.130144817618727
Panel A,kappa_Cog,-0.030868558290232,0.0194365069067596
Panel A,delta_Cog,-0.733824877991001,0.342200695069561
Panel A,Theta_up_Phy,-0.824490806345399,0.136892691524093
Panel A,Theta_dn_Phy,-0.141012105378358,0.107341785054143
Panel A,kappa_Phy,-0.0219762405280036,0.0332443191576299
Panel A,delta_Phy,-1.60259796731103,0.40824226648344
Panel B,Theta_up_Cog,0.295808408382234,0.0584965349938255
Panel B,Theta_dn_Cog,0.0633331824188767,0.043546659171845
Panel B,kappa_Cog,-0.0478943764098163,0.0149324626693914
Panel B,delta_Cog,-1.72199211671739,0.233089095758447
Panel B,Theta_up_Phy,-0.673873618788243,0.106651690683759
Panel B,Theta_dn_Phy,-0.145667958034393,0.0677448738328381
Panel B,kappa_Phy,0.0109520103143556,0.0309737833985876
Panel B,delta_Phy,-2.90049281042733,0.384746523378602
